countryID,laborForceParticipationRate,unemploymentRate,percentEmplAgriculture,percentEmplIndustry,percentEmplServices
157,72.2,3.2,6.5,38.25,55.25
158,NULL,NULL,NULL,NULL,NULL
159,53.4,4.3,40.53,23.97,35.5
160,NULL,NULL,NULL,NULL,NULL
161,66.4,4.7,13.95,17.85,68.2
162,46.6,2.7,20.08,7.56,72.36
163,70.8,4.6,20.47,19.51,60.03
164,77.4,3.7,27.52,15.94,56.54
165,59.9,1.8,24.65,18.0,57.35
166,56.6,4.4,10.02,30.85,59.13
167,58.3,6.7,6.52,24.34,69.15
168,41.1,10.3,3.19,17.09,79.72
169,87.0,0.1,1.22,54.69,44.09
170,63.0,3.6,4.71,24.36,70.93
171,41.7,4.3,31.83,17.2,50.98
172,NULL,NULL,NULL,NULL,NULL
173,54.1,5.0,21.88,28.14,49.98
174,61.6,4.9,6.51,26.72,66.77
175,83.8,1.4,64.77,8.4,26.83
176,NULL,NULL,NULL,NULL,NULL
177,NULL,NULL,NULL,NULL,NULL
178,NULL,NULL,NULL,NULL,NULL
179,67.6,19.8,15.15,17.54,67.32
180,NULL,NULL,NULL,NULL,NULL
181,NULL,NULL,NULL,NULL,NULL
182,68.2,18.2,5.85,12.55,81.6
183,31.2,8.0,5.78,14.21,80.01
184,NULL,NULL,NULL,NULL,NULL
185,59.5,13.5,15.24,13.82,70.94
186,56.8,5.3,6.22,22.62,71.17
187,46.5,4.8,52.12,20.35,27.53
188,53.9,12.2,18.24,24.42,57.34
189,NULL,NULL,NULL,NULL,NULL
190,57.9,4.3,59.04,6.28,34.68
191,68.1,1.7,0.12,16.06,83.83
192,NULL,NULL,NULL,NULL,NULL
193,59.5,7.0,2.79,35.78,61.43
194,57.4,6.0,4.69,31.1,64.21
195,71.4,2.1,69.27,9.81,20.92
196,46.5,5.9,86.15,7.6,6.25
197,55.5,27.6,5.36,23.38,71.26
198,73.1,11.5,65.44,19.65,14.91
199,57.0,13.4,3.96,19.11,76.94
200,52.3,4.2,25.56,25.54,48.91
201,45.7,26.4,9.46,29.51,61.04
202,47.1,12.7,53.02,19.23,27.76
203,51.6,8.0,2.58,24.55,72.87
204,64.4,6.3,1.81,17.87,80.32
205,68.1,4.7,3.38,20.41,76.21
206,40.8,14.9,22.77,33.31,43.93
207,43.6,10.3,50.7,16.68,32.62
208,67.2,1.4,31.19,22.51,46.3
209,38.8,3.5,24.89,15.84,59.27
210,77.5,1.9,36.02,17.33,46.66
211,NULL,NULL,NULL,NULL,NULL
212,59.5,1.2,31.48,31.82,36.7
213,60.2,5.1,3.52,26.8,69.68
214,46.3,15.1,13.27,42.64,44.09
215,52.4,11.2,18.28,27.04,54.68
216,65.0,3.3,7.61,44.79,47.6
217,NULL,NULL,NULL,NULL,NULL
218,NULL,NULL,NULL,NULL,NULL
219,71.1,2.3,67.78,7.12,25.1
220,53.7,8.6,13.99,26.0,60.01
221,82.9,1.7,0.33,38.56,61.11
222,62.3,3.9,1.07,18.12,80.81
223,83.1,2.3,65.3,6.14,28.57
224,61.7,4.1,1.61,18.66,79.73
225,59.1,7.0,2.63,11.65,85.72
226,64.5,8.2,7.83,19.77,72.4
227,65.5,6.7,20.67,37.7,41.63
228,70.6,5.2,64.47,5.92,29.61
229,62.1,7.7,9.69,23.67,66.64
230,77.3,2.1,38.35,25.44,36.22
231,NULL,NULL,NULL,NULL,NULL
232,55.1,7.2,30.12,30.99,38.89
233,38.4,14.0,41.54,13.43,45.03
234,75.2,7.8,52.53,12.09,35.37
235,83.7,5.0,68.68,7.34,23.98
